Question Number,Question Title,Voted On Question?,Vote Index,Vote Title,Voter Name,Voter Email,Vote Time
1,What is the Population of Nashville?,Yes,A,35000,Anonymous,Email Not Captured,"Sep 7, 2018 4:04 PM"
1,What is the Population of Nashville?,Yes,B,5,Anonymous,Email Not Captured,"Sep 7, 2018 8:10 PM"
1,What is the Population of Nashville?,Yes,C,5000000,Anonymous,Email Not Captured,"Sep 7, 2018 8:10 PM"
1,What is the Population of Nashville?,Yes,D,350000,Anonymous,Email Not Captured,"Sep 7, 2018 8:10 PM"
1,What is the Population of Nashville?,No,-,-,MegsIsAwesome,Email Not Captured,-
2,How many miles did the bus drive to get here?,Yes,A,429,Anonymous,Email Not Captured,"Sep 7, 2018 4:04 PM"
2,How many miles did the bus drive to get here?,Yes,B,250,Anonymous,Email Not Captured,"Sep 7, 2018 8:10 PM"
2,How many miles did the bus drive to get here?,No,-,-,MegsIsAwesome,Email Not Captured,-
2,How many miles did the bus drive to get here?,No,-,-,Anonymous,Email Not Captured,-
2,How many miles did the bus drive to get here?,No,-,-,Anonymous,Email Not Captured,-
3,What year did Dolly Parton’s song  “9 to 5”,Yes,A,1979,Anonymous,Email Not Captured,"Sep 7, 2018 4:04 PM"
3,What year did Dolly Parton’s song  “9 to 5”,Yes,B,1987,Anonymous,Email Not Captured,"Sep 7, 2018 8:11 PM"
3,What year did Dolly Parton’s song  “9 to 5”,Yes,C,1985,Anonymous,Email Not Captured,"Sep 7, 2018 8:11 PM"
3,What year did Dolly Parton’s song  “9 to 5”,Yes,D,2025,Anonymous,Email Not Captured,"Sep 7, 2018 8:11 PM"
3,What year did Dolly Parton’s song  “9 to 5”,No,-,-,MegsIsAwesome,Email Not Captured,-
4,How many objects are in the jar?,Yes,A,225,Anonymous,Email Not Captured,"Sep 7, 2018 4:04 PM"
4,How many objects are in the jar?,Yes,B,3,Anonymous,Email Not Captured,"Sep 7, 2018 8:11 PM"
4,How many objects are in the jar?,Yes,B,3,Anonymous,Email Not Captured,"Sep 7, 2018 8:11 PM"
4,How many objects are in the jar?,Yes,C,5,Anonymous,Email Not Captured,"Sep 7, 2018 8:11 PM"
4,How many objects are in the jar?,No,-,-,MegsIsAwesome,Email Not Captured,-
5,What is the square footage of the resort?,Yes,A,35000,Anonymous,Email Not Captured,"Sep 7, 2018 4:05 PM"
5,What is the square footage of the resort?,Yes,B,2,Anonymous,Email Not Captured,"Sep 7, 2018 8:11 PM"
5,What is the square footage of the resort?,Yes,C,5000,Anonymous,Email Not Captured,"Sep 7, 2018 8:11 PM"
5,What is the square footage of the resort?,Yes,D,600000,Anonymous,Email Not Captured,"Sep 7, 2018 8:11 PM"
5,What is the square footage of the resort?,No,-,-,MegsIsAwesome,Email Not Captured,-
6,How many people are in this room right now?,Yes,A,200,Anonymous,Email Not Captured,"Sep 7, 2018 4:05 PM"
6,How many people are in this room right now?,Yes,B,4,Anonymous,Email Not Captured,"Sep 7, 2018 8:12 PM"
6,How many people are in this room right now?,Yes,B,4,Anonymous,Email Not Captured,"Sep 7, 2018 8:12 PM"
6,How many people are in this room right now?,Yes,A,200,Anonymous,Email Not Captured,"Sep 7, 2018 8:12 PM"
6,How many people are in this room right now?,No,-,-,MegsIsAwesome,Email Not Captured,-
7,How much did GateAway cost (all in)?,Yes,A,25785,Anonymous,Email Not Captured,"Sep 7, 2018 4:05 PM"
7,How much did GateAway cost (all in)?,Yes,B,60000,Anonymous,Email Not Captured,"Sep 7, 2018 8:12 PM"
7,How much did GateAway cost (all in)?,Yes,C,4,Anonymous,Email Not Captured,"Sep 7, 2018 8:12 PM"
7,How much did GateAway cost (all in)?,Yes,D,250000,Anonymous,Email Not Captured,"Sep 7, 2018 8:12 PM"
7,How much did GateAway cost (all in)?,No,-,-,MegsIsAwesome,Email Not Captured,-
8,How many ounces gallons of beer is served at the office per month?,Yes,A,169,Anonymous,Email Not Captured,"Sep 7, 2018 4:05 PM"
8,How many ounces gallons of beer is served at the office per month?,Yes,B,5,Anonymous,Email Not Captured,"Sep 7, 2018 8:12 PM"
8,How many ounces gallons of beer is served at the office per month?,Yes,C,9,Anonymous,Email Not Captured,"Sep 7, 2018 8:12 PM"
8,How many ounces gallons of beer is served at the office per month?,Yes,D,400,Anonymous,Email Not Captured,"Sep 7, 2018 8:12 PM"
8,How many ounces gallons of beer is served at the office per month?,No,-,-,MegsIsAwesome,Email Not Captured,-
9,How many babies have been born this year at Slalom?,Yes,A,4,Anonymous,Email Not Captured,"Sep 7, 2018 4:05 PM"
9,How many babies have been born this year at Slalom?,Yes,B,30,Anonymous,Email Not Captured,"Sep 7, 2018 8:13 PM"
9,How many babies have been born this year at Slalom?,Yes,C,6,Anonymous,Email Not Captured,"Sep 7, 2018 8:13 PM"
9,How many babies have been born this year at Slalom?,Yes,D,20,Anonymous,Email Not Captured,"Sep 7, 2018 8:13 PM"
9,How many babies have been born this year at Slalom?,No,-,-,MegsIsAwesome,Email Not Captured,-
