Question Number,Question Title,Voted On Question?,Vote Index,Vote Title,Voter Name,Voter Email,Vote Time
1,How many Skittles are in the vase?,Yes,A,60,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,B,35,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,C,75,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,C,75,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,D,45,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,E,40,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,C,75,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,E,40,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,F,150,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,G,120,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,H,30,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,A,60,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,D,45,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,I,90,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,C,75,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,E,40,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,J,55,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,E,40,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,K,100,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,L,50,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,M,38,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,E,40,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,B,35,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,F,150,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,N,36,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,O,25,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,P,37,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,B,35,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,Q,58,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,B,35,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,K,100,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,B,35,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,H,30,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,R,248,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,L,50,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,B,35,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,S,94,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,T,48,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,H,30,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,J,55,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,K,100,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,U,65,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,V,122,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,W,73,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,X,126,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,A,60,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,Y,47,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,Y,47,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,J,55,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,H,30,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,Z,110,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,{,69,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,|,68,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,},74,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,A,60,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,A,60,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,~,42,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,D,45,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,44,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,D,45,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,B,35,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,115,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,U,65,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,H,30,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,D,45,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,Q,58,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,J,55,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,117,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,J,55,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,112,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,T,48,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,C,75,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,78,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,80,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,82,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,K,100,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,~,42,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,72,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,L,50,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,H,30,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,87,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,67,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,32,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,67,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,82,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,L,50,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,L,50,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,L,50,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,P,37,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,A,60,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,|,68,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,T,48,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,C,75,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,L,50,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,G,120,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,76,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,H,30,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,A,60,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,64,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,97,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,125,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,84,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,43,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,67,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,342,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,U,65,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,D,45,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,95,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,70,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,D,45,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,85,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,J,55,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,175,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,},74,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,80,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,D,45,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,B,35,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,70,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,D,45,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,A,60,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,K,100,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,56,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,,70,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
1,How many Skittles are in the vase?,Yes,K,100,Anonymous,Email Not Captured,"Sep 29, 2018 3:31 PM"
